category_id,name,depth,parent_id,wikipedia_page_id,wikipedia_url,wikidata_iri,has_extract,n_concepts,n_children,extract_preview
automotive-engineering,Automotive engineering,3,mechanical-engineering,351882,https://en.wikipedia.org/?curid=351882,wd:Q124192,1,0,4,"Automotive engineering, along with aerospace engineering and naval architecture, is a branch of vehicle engineering, incorporating elements of mechanical, electrical, electronic, software, and safety "
basic-psychology,Basic science (psychology),3,psychology,22403616,https://en.wikipedia.org/?curid=22403616,wd:Q4867047,1,0,20,"Some of the research that is conducted in the field of psychology is more ""fundamental"" than the research conducted in the applied psychological disciplines, and does not necessarily have a direct app"
biochemistry,Biochemistry,3,chemistry,3954,https://en.wikipedia.org/?curid=3954,wd:Q7094,1,0,7,"Biochemistry, or biological chemistry (distinct from chemical biology), is the study of chemical processes within and relating to living organisms.  A sub-discipline of both chemistry and biology, bio"
biological-anthropology,Biological anthropology,3,anthropology,24232,https://en.wikipedia.org/?curid=24232,wd:Q27172,1,0,2,"Biological anthropology, also known as physical anthropology, is a natural science discipline concerned with the biological and behavioral aspects of human beings, their extinct hominin ancestors, and"
biological-hazard,Biological hazard,3,biology,77060,https://en.wikipedia.org/?curid=77060,wd:Q864360,1,0,2,"A biological hazard, or biohazard, is a biological substance that poses a threat (or is a hazard) to the health of living organisms, primarily humans. This could include a sample of a microorganism, v"
biological-systems-engineering,Biological systems engineering,3,biological-engineering,9579270,https://en.wikipedia.org/?curid=9579270,wd:Q864858,1,0,2,Biological systems engineering or biosystems engineering is a broad-based engineering discipline with particular emphasis on non-medical biology. It can be thought of as a subset of the broader notion
biomechanical-engineering,Biomechanical engineering,3,biological-engineering,14063216,https://en.wikipedia.org/?curid=14063216,wd:Q4915094,1,0,2,"Biomechanical engineering, also considered a subfield of mechanical engineering and biomedical engineering, combines principles of physics (with a focus on mechanics), biology, and engineering. Topics"
biomedical-engineering,Biomedical engineering,3,biological-engineering,4827,https://en.wikipedia.org/?curid=4827,wd:Q327092,1,0,8,"Biomedical engineering (BME) or medical engineering is the application of engineering principles and design concepts to medicine and biology for healthcare applications (e.g., diagnostic or therapeuti"
biophysics,Biophysics,3,biology,54000,https://en.wikipedia.org/?curid=54000,wd:Q7100,1,0,6,Biophysics is an interdisciplinary science that applies approaches and methods traditionally used in physics to study biological phenomena.
bioprocess-engineering,Bioprocess engineering,3,biological-engineering,9580771,https://en.wikipedia.org/?curid=9580771,wd:Q864734,1,0,2,"Biochemical engineering, also known as bioprocess engineering, is a field of study with roots stemming from chemical engineering and biological engineering. It mainly deals with the design, constructi"
biotechnology,Biotechnology,3,biological-engineering,4502,https://en.wikipedia.org/?curid=4502,wd:Q7108,1,0,9,Biotechnology is a multidisciplinary field that involves the integration of natural sciences and engineering sciences to achieve the application of organisms and parts thereof for products and service
business-administration,Business administration,3,business,58886,https://en.wikipedia.org/?curid=58886,wd:Q2043282,1,0,24,"Business administration, also known as business management  is the administration of a commercial enterprise. It includes all aspects of overseeing and supervising the business operations of an organi"
business-communication,Business communication,3,communication-studies,2392115,https://en.wikipedia.org/?curid=2392115,wd:Q4115749,1,0,2,"Business communication is communication that is intended to help a business achieve a fundamental goal, through information sharing between employees as well as people outside the company. It includes"
cardiology,Cardiology,3,health-sciences,5421,https://en.wikipedia.org/?curid=5421,wd:Q10379,1,0,4,Cardiology (from Ancient Greek  καρδίᾱ (kardiā) 'heart' and  -λογία (-logia) 'study') is the study of the heart. Cardiology is a branch of medicine that deals with disorders of the heart and the cardi
cell-biology,Cell biology,3,biology,6339,https://en.wikipedia.org/?curid=6339,wd:Q7141,1,0,26,"Cell biology, cellular biology, or cytology, is the branch of biology that studies the structure, function, and behavior of the cells. All organisms are made of cells. A cell is the basic unit of life"
chemical-reactions,Chemical reaction,3,chemistry,6271,https://en.wikipedia.org/?curid=6271,wd:Q36534,1,0,21,"A chemical reaction is a process that leads to the chemical transformation of one set of chemical substances to another. When chemical reactions occur, the atoms are rearranged and the reaction is acc"
chemical-reaction-engineering,Chemical reaction engineering,3,chemical-engineering,25034192,https://en.wikipedia.org/?curid=25034192,wd:Q2667887,1,0,3,Chemical reaction engineering (reaction engineering or reactor engineering) is a specialty in chemical engineering or industrial chemistry dealing with chemical reactors.  Frequently the term relates 
chronobiology,Chronobiology,3,biology,56566,https://en.wikipedia.org/?curid=56566,wd:Q506874,1,0,3,"Chronobiology is a field of biology that examines timing processes, including periodic (cyclic) phenomena in living organisms, such as their adaptation to solar- and lunar-related rhythms. These cycle"
classical-antiquity,Classical antiquity,3,history,252905,https://en.wikipedia.org/?curid=252905,wd:Q486761,1,0,4,"Classical antiquity, also known as the classical era, classical period, classical age, or simply antiquity, is the period of cultural European history between the 8th century BC and the 5th century AD"
classical-logic,Classical logic,3,logic,55868,https://en.wikipedia.org/?curid=55868,wd:Q236975,1,0,8,Classical logic (or standard logic) or Frege–Russell logic is the intensively studied and most widely used class of deductive logic. Classical logic has had much influence on analytic philosophy.
climate,Climate,3,environmental-science,5999,https://en.wikipedia.org/?curid=5999,wd:Q7937,1,0,8,"Climate is the long-term weather pattern in a region, typically averaged over 30 years. More rigorously, it is the mean and variability of meteorological variables over a time spanning from months to "
cloud-computing,Cloud computing,3,computer-engineering,19541494,https://en.wikipedia.org/?curid=19541494,wd:Q483639,1,0,2,"Cloud computing is defined by the International Organization for Standardization (ISO) as ""a paradigm for enabling network access to a scalable and elastic pool of shareable physical or virtual resour"
legal-systems,Comparative law,3,law,7378,https://en.wikipedia.org/?curid=7378,wd:Q741338,1,0,5,"Comparative law is the study of differences and similarities between the law and legal systems of different countries. More specifically, it involves the study of the different legal systems (or ""fami"
component-engineering,Component engineering,3,industrial-and-production-engineering,21037206,https://en.wikipedia.org/?curid=21037206,wd:Q5156697,1,0,2,"Component engineering is an engineering discipline primarily used to ensure the suitability and testability of suitable components required to manufacture a larger product.
The term combines two ideas"
computational-chemistry,Computational chemistry,3,chemistry,6019,https://en.wikipedia.org/?curid=6019,wd:Q369472,1,0,4,Computational chemistry is a branch of chemistry that uses computer simulations to assist in solving chemical problems. It uses methods of theoretical chemistry incorporated into computer programs to 
computational-physics,Computational physics,3,physics,106418,https://en.wikipedia.org/?curid=106418,wd:Q909554,1,0,5,"Computational physics is the study and implementation of numerical analysis to solve problems in physics. Historically, computational physics was the first application of modern computers in science, "
computational-statistics,Computational statistics,3,statistics,15832717,https://en.wikipedia.org/?curid=15832717,wd:Q5157340,1,0,2,"Computational statistics, or statistical computing, is the study which is the intersection of statistics and computer science, and refers to the statistical methods that are enabled by using computati"
computer-architecture,Computer architecture,3,computer-engineering,25652303,https://en.wikipedia.org/?curid=25652303,wd:Q173212,1,0,14,"In computer science and computer engineering, a computer architecture is the structure of a computer system made from component parts. It can sometimes be a high-level description that ignores details"
computer-data-storage,Computer data storage,3,computer-engineering,5300,https://en.wikipedia.org/?curid=5300,wd:Q66221,1,0,6,Computer data storage or digital data storage is the retention of digital data via technology consisting of computer components and recording media. Digital data storage is a core function and fundame
computer-graphics,Computer graphics (computer science),3,computer-engineering,18567168,https://en.wikipedia.org/?curid=18567168,wd:Q150971,1,0,8,Computer graphics is a sub-field of computer science which studies methods for digitally synthesizing and manipulating visual content. Although the term often refers to the study of three-dimensional 
hardware-engineering,Computer hardware,3,computer-engineering,21808348,https://en.wikipedia.org/?curid=21808348,wd:Q3966,1,0,8,"Computer hardware includes the physical parts of a computer, such as the central processing unit (CPU), random-access memory (RAM), motherboard, computer data storage, graphics card, sound card, and c"
computer-networks,Computer network,3,computer-engineering,4122592,https://en.wikipedia.org/?curid=4122592,wd:Q1301371,1,0,18,"In computer science, computer engineering, and telecommunications, a network is a group of communicating computers and peripherals known as hosts, which communicate data to other hosts via communicati"
computer-programming,Computer programming,3,computer-engineering,5311,https://en.wikipedia.org/?curid=5311,wd:Q80006,1,0,6,"Computer programming or coding is the composition of sequences of instructions, called programs, that computers can follow to perform tasks. It involves designing and implementing algorithms, step-by-"
computer-security,Computer security,3,computer-engineering,7398,https://en.wikipedia.org/?curid=7398,wd:Q3510521,1,0,19,"Computer security (also cybersecurity, digital security, or information technology (IT) security) is a subdiscipline within the field of information security. It focuses on protecting computer softwar"
computer-mediated-communication,Computer-mediated communication,3,communication-studies,320498,https://en.wikipedia.org/?curid=320498,wd:Q796573,1,0,2,Computer-mediated communication  (CMC) is defined as any human communication that occurs through the use of two or more electronic devices.  Computer-mediated communication is relevant to linguistics 
condensed-matter-physics,Condensed matter physics,3,physics,5387,https://en.wikipedia.org/?curid=5387,wd:Q214781,1,0,7,"Condensed matter physics is the field of physics that deals with the macroscopic and microscopic physical properties of matter, especially the solid and liquid phases, that arise from electromagnetic "
conservation-biology,Conservation biology,3,biology,216216,https://en.wikipedia.org/?curid=216216,wd:Q641498,1,0,13,"Conservation biology is the study of the conservation of nature and of Earth's biodiversity with the aim of protecting species, their habitats, and ecosystems from excessive rates of extinction and th"
construction-engineering,Construction engineering,3,civil-engineering,50705,https://en.wikipedia.org/?curid=50705,wd:Q2674423,1,0,4,"Construction engineering, also known as construction operations, is a professional sub-discipline of civil engineering that deals with the designing, planning, construction, and operations management "
research-institutes,Contract research organization,3,research,1984610,https://en.wikipedia.org/?curid=1984610,wd:Q760102,1,0,2,"In the life sciences, a contract research organization or clinical research organization (CRO) is a company that provides support to the  pharmaceutical, biotechnology, and medical device industries i"
control-theory-and-engineering,Control engineering,3,information-engineering,7011,https://en.wikipedia.org/?curid=7011,wd:Q4917288,1,0,4,"Control engineering, also known as control systems engineering and, in some European countries, automation engineering, is an engineering discipline that deals with control systems, applying control t"
cultural-anthropology,Cultural anthropology,3,anthropology,5388,https://en.wikipedia.org/?curid=5388,wd:Q28598,1,0,2,"Cultural anthropology is a branch of anthropology focused on the study of cultural variation among humans. It is in contrast to social anthropology, which perceives cultural variation as a subset of a"
